,DA,N,NFE,NP,PA,PR,coding,crossover,crowding_factor,crowding_selection,dimensions,distance_measure,function_name,method,mutation,p_c,p_m,run_number,run_time,subpopulation_size
0,0.7820230901564507,500.0,4260.0,3.0,0.2221477720852109,0.6,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,53.53754258155823,5.0
1,0.4845557342531193,500.0,3682.0,4.0,1.1756054747270477,0.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,41.32183623313904,5.0
2,0.0017527719806710589,500.0,1842.0,6.0,0.0006691974881567475,1.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,21.615143060684204,5.0
3,0.003758762643242402,500.0,1768.0,11.0,0.003128699530434487,2.2,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,17.092525482177734,5.0
4,0.4848629921748675,500.0,3716.0,4.0,1.1033951274646607,0.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,43.43694543838501,5.0
5,0.00440796817954095,500.0,2456.0,5.0,0.004444033083614961,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,29.76443743705749,5.0
6,0.7528800094812421,500.0,5294.0,4.0,0.8396317926004139,0.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,3.0,61.5878643989563,5.0
7,0.7912582221930077,500.0,3678.0,2.0,0.05452067556941853,0.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,4.0,42.454257488250725,5.0
8,0.4001556172621207,500.0,3344.0,5.0,1.9686605917106559,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,35.802711486816406,5.0
9,0.8007313177598467,500.0,3010.0,3.0,0.00013352499169194676,0.6,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,32.615163564682014,5.0
10,0.003734362429156729,500.0,1978.0,9.0,0.0021861819036528285,1.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,23.63328790664673,5.0
11,0.43140958653653616,500.0,4132.0,5.0,0.9193733104144586,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,50.1349413394928,5.0
12,0.38457549197685637,500.0,3680.0,5.0,0.7941328471798114,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,36.32004642486572,5.0
13,0.7502725841756678,500.0,3830.0,4.0,0.8702551726270017,0.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,37.780431032180786,5.0
14,0.37080024141911155,500.0,3282.0,9.0,2.109606171761939,1.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,40.393521547317505,5.0
15,0.37839541898010365,500.0,2460.0,5.0,0.3106554784004193,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,3.0,29.93945837020874,5.0
16,0.7006855109459157,500.0,3448.0,5.0,1.0000965293809523,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,4.0,41.67349934577942,5.0
17,0.7991718926559176,500.0,2576.0,2.0,0.0006834771163477527,0.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,5.0,23.247546911239624,5.0
