,N,NFE,NP,PA,PR,coding,crossover,crowding_factor,crowding_selection,dimensions,distance_measure,function_name,method,mutation,p_c,p_m,run_number,run_time,subpopulation_size,DA
0,500.0,2548.0,7.0,0.7639434590814153,1.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,20.90443420410156,5.0,0.6460047606215094
1,500.0,10.0,82.0,0.022889373782693626,16.4,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,0.6005954742431641,5.0,0.008784279315505267
2,500.0,2466.0,5.0,1.0217295959425856,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,27.68284702301025,5.0,0.6928706394623321
3,500.0,4028.0,5.0,0.0019382032563293183,1.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,46.00825762748718,5.0,0.7991644759953616
4,500.0,3138.0,4.0,0.0016489048761927359,0.8,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,3.0,41.460831642150886,5.0,0.7989794231626632
5,500.0,2492.0,16.0,2.8728091529142565,0.64,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,27.92035508155823,5.0,2.57053745220592
6,500.0,2456.0,19.0,2.3397774410685117,0.76,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,27.418796062469482,5.0,2.48510405483786
7,500.0,2912.0,18.0,3.0713949690606466,0.72,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,32.71168303489685,5.0,3.1215785225782615
8,500.0,2250.0,22.0,1.2960997799877978,0.88,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,24.573060274124146,5.0,1.927529956868398
9,500.0,2906.0,20.0,1.5754910994521631,0.8,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,39.10815167427063,5.0,2.0939289615239747
10,500.0,3170.0,17.0,1.1929169048568709,0.68,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,35.221943378448486,5.0,2.3777939856491526
11,500.0,3678.0,16.0,1.3440167413147255,0.64,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,3.0,38.24499273300171,5.0,2.395173008340943
12,500.0,3238.0,16.0,1.530729021716685,0.64,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,4.0,40.075039863586426,5.0,2.6815069560829405
13,500.0,2772.0,31.0,1.9938767208672588,1.24,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,5.0,41.625728130340576,5.0,1.9743959693924378
14,500.0,3702.0,19.0,1.331221083154273,0.76,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,6.0,40.34180736541748,5.0,2.488168901424517
15,500.0,2080.0,24.0,1.4607113987598832,0.96,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,7.0,29.521674633026123,5.0,2.100784727416256
16,500.0,2090.0,21.0,1.6436254131785222,0.84,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,8.0,27.882616758346558,5.0,2.0747578515415994
17,500.0,2038.0,21.0,1.2839481981987861,0.84,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,9.0,23.60979151725769,5.0,2.342647626932997
18,500.0,3608.0,7.0,8.694279819306672,7.0,bin,1,3.0,75.0,2.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,0.0,36.821059465408325,5.0,8.922723787338162
